,Title,Year,Release Date,Rating,Num Raters,Popularity,Runtime (hrs),Budget ($),Revenue ($),Profit ($),Genres,Actors,Keywords,Production Companies,Countries
0,Star Wars,1977,1977-05-25,8.2,17254,83.11,2.02,11000000,775398007,764398007.0,"['Adventure', 'Action', 'Science Fiction']","['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Peter Cushing', 'Alec Guinness', 'Anthony Daniels', 'Kenny Baker', 'Peter Mayhew', 'David Prowse', 'James Earl Jones', 'Phil Brown', 'Shelagh Fraser', 'Jack Purvis', 'Alex McCrindle', 'Eddie Byrne', 'Drewe Henley', 'Denis Lawson', 'Garrick Hagon', 'Jack Klaff', 'William Hootkins', 'Angus MacInnes', 'Jeremy Sinden', 'Graham Ashley', 'Don Henderson', 'Richard LeParmentier', 'Leslie Schofield', 'Michael Leader', 'David Ankrum', 'Scott Beach', 'Lightning Bear', 'Jon Berg', 'Doug Beswick', 'Paul Blake', 'Janice Burchette', 'Ted Burnett', 'John Chapman', 'Gilda Cohen', 'Tim Condren', 'Barry Copping', 'Alfie Curtis', 'Robert Davies', 'Maria De Aragon', 'Robert A. Denham', 'Frazer Diamond', 'Peter Diamond', 'Warwick Diamond', 'Sadie Eden', 'Kim Falkinburg', 'Harry Fielder', 'Ted Gagliano', 'Salo Gardner', 'Steve Gawley', 'Barry Gnome', 'Rusty Goffe', 'Isaac Grand', 'Reg Harding', 'Alan Harris', 'Frank Henson', 'Christine Hewett', 'Arthur Howell', 'Tommy Ilsley', 'Joe Johnston', 'Annette Jones', 'Linda Jones', 'Joe Kaye', 'Colin Michael Kitchens', 'Melissa Kurtz', 'Tiffany Hillkurtz', 'Al Lampert', 'Anthony Lang', 'Laine Liska', 'Derek Lyons', 'Mahjoub', 'Alf Mangan', 'Grant McCune', 'Geoffrey Moon', 'Mandy Morton', 'Lorne Peterson', 'Marcus Powell', 'Shane Rimmer', 'Pam Rose', 'George Roubicek', 'Erica Simmons', 'Angela Staines', 'George Stock', 'Roy Straite', 'Peter Sturgeon', 'Peter Sumner', 'John Sylla', 'Tom Sylla', 'Malcolm Tierney', 'Phil Tippett', 'Burnell Tucker', 'Morgan Upton', 'Jerry Walter', 'Hal Wamsley', 'Larry Ward', 'Diana Sadley Way', 'Bill Weston', 'Fred Wood', 'Colin Higgins', 'Ron Tarr', 'Anthony Forrest', 'Frances Alfred Basil Tomlin', 'Ronny Cush']","['Android', 'Galaxy', 'Hermit', 'Smuggling (Contraband)', 'Death Star', 'Rescue Mission', 'Empire', 'Rebellion', 'Planet', 'Space Opera', 'Galactic War', 'Totalitarianism']","['Lucasfilm', '20th Century Fox']",['United States of America']
1,Finding Nemo,2003,2003-05-30,7.8,16388,107.361,1.67,94000000,940335536,846335536.0,"['Animation', 'Family']","['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould', 'Willem Dafoe', 'Brad Garrett', 'Allison Janney', 'Austin Pendleton', 'Stephen Root', 'Vicki Lewis', 'Joe Ranft', 'Geoffrey Rush', 'Andrew Stanton', 'Elizabeth Perkins', 'Nicholas Bird', 'Bob Peterson', 'Barry Humphries', 'Eric Bana', 'Bruce Spence', 'Bill Hunter', 'LuLu Ebeling', 'Jordan Ranft', 'Erica Beck', 'Erik Per Sullivan', 'John Ratzenberger', 'Carlos Alazraqui', 'Alec Medlock', 'Bob Bergen', 'Nicole Miller', 'Geoff Brooks', 'Lisa Peers', 'Paul Eiding', 'Phil Proctor', 'Leland Grossman', 'Daryl Sabara', 'Lili Ishida', 'Emmett Shoemaker', 'Oliver Kindred', 'Ben Stanton', 'Danny Mann', 'Kali Whitehurst', 'Rove McManus', 'James S. Baker', 'Vanessa Marano', 'Susan Blu', 'Annelise Nolting', 'Jeff Pidgeon', 'Jennifer Darling', 'Aaron Fors', 'Katherine Ringgold', 'Jess Harnell', 'David Ian Salter', 'Caroline Kindred', 'Sherry Lynn', 'Jim Ward', 'Mickie McGowan', 'Jack Angel', 'Laura Marano', 'Bobby Block', 'Laraine Newman', 'Jane Carr', 'Jessie Flower', 'Jan Rabson', 'Bradley Trevor Greive', 'Evan Sabara', 'Marc John Jefferies', 'Eliza Schneider', 'Lee Unkrich', 'Noah Luke']","['Parent Child Relationship', 'Sydney, Australia', 'Harbor', 'Anthropomorphism', 'Underwater', 'Shark', 'Pelican', 'Fish Tank', 'Great Barrier Reef', 'Sea Turtle', 'Missing Child', 'Aftercreditsstinger', 'Duringcreditsstinger', 'Short Term Memory Loss', 'Clownfish', 'Father Son Reunion', 'Protective Father']",['Pixar'],['United States of America']
2,Forrest Gump,1994,1994-06-23,8.5,22736,48.587,2.37,55000000,677387716,622387716.0,"['Comedy', 'Drama', 'Romance']","['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Mykelti Williamson', 'Sally Field', 'Michael Conner Humphreys', 'Hanna Hall', 'Haley Joel Osment', 'Siobhan Fallon Hogan', 'Afemo Omilami', 'Peter Dobson', 'Sonny Shroyer', 'George Kelly', 'Sam Anderson', 'Margo Moorer', 'Christopher Jones', 'Kevin Mangan', 'Brett Rice', 'Daniel C. Striepeke', 'David Brisbin', 'Kirk Ward', 'Marlena Smalls', 'Kitty K. Green', 'Mark Matheisen', 'Al Harrington', 'Joe Washington', 'Jed Gillin', 'Don Fischer', 'Matt Wallace', 'Mike Jolly', 'Michael Kemmerling', 'John Voldstad', 'Daniel J. Gillooly', 'Michael Burgess', 'Steven Griffith', 'Michael McFall', 'Byron Minns', 'Steve DeRelian', 'Bonnie Ann Burgess', 'Stephen Bridgewater', 'John William Galt', 'Isabel Rose', ""Richard D'Alessandro"", 'Kevin Davis', 'Michael Jace', 'Geoffrey Blake', 'Vanessa Roth', 'Emily Carey', 'Dick Cavett', 'Tiffany Salerno', 'Marla Sucharetza', 'Joe Alaskey', 'Lazarus Jackson', 'Matt Rebenkoff', 'Nora Dunfee', ""Hallie D'Amore"", 'Michael Mattison', 'Charles Boswell', 'Timothy McNeil', 'Bob Penny', 'Greg Brown', 'Troy Christian', 'Bryan Hanna', 'Zach Hanner', 'Aaron Michael Lacey', 'Jacqueline Lovell', 'Brendan Shanahan', 'William Shipman', 'Robb Skyler', 'Mary Ellen Trainor', 'Kurt Russell', 'Jeffrey Winner', 'Bob Harks', 'W. Benson Terry', 'Tyler Long', 'Jim Hanks', 'Michael Oliver']","['Vietnam Veteran', 'Hippie', 'Washington Dc, Usa', 'Mentally Disabled', 'Based On Novel Or Book', 'Parent Child Relationship', 'Vietnam War', 'Friendship', 'Love', 'Family Relationships', 'Military', 'Disability', 'Wounded Soldier', 'Low Iq', 'False History']","['Paramount', 'The Steve Tisch Company', 'Wendy Finerman Productions']",['United States of America']
3,American Beauty,1999,1999-09-15,8.0,10242,25.75,2.03,15000000,356296601,341296601.0,['Drama'],"['Kevin Spacey', 'Annette Bening', 'Thora Birch', 'Wes Bentley', 'Mena Suvari', 'Chris Cooper', 'Allison Janney', 'Peter Gallagher', 'Scott Bakula', 'Sam Robards', 'Barry Del Sherman', 'John Cho', 'Hal Fort Atkinson', 'Kent Faulcon', 'Ara Celi', 'Sue Casey', 'Brenda Wehle', 'Lisa Cloud', 'Amber Smith', 'Joel McCrary', 'Marissa Jaret Winokur', 'Dennis Anderson', 'Matthew Kimbrough', 'Erin Cathryn Strubbe', 'Alison Faulk', 'Krista Goodsitt', 'Lily Houtkin', 'Carolina Lancaster', 'Mona Leah', 'Chekesha Van Putten', 'Emily Zachary', 'Nancy Anderson', 'Reshma Gajjar', 'Stephanie Rizzo', 'Heather Joy Sher', 'Chelsea Hertford', 'Elaine Corral Kendall', 'David C. Fisher', 'Tom Miller', 'Bruce Cohen']","['Adultery', 'Parent Child Relationship', 'Midlife Crisis', 'Coming Out', 'First Time', 'Virgin', 'Estate Agent', 'Cheerleader', 'Rose', 'Satire', 'Loneliness', 'Dark Comedy', 'Suburbia', 'Coming Of Age', 'Marijuana', 'Love Affair', 'Exercise', 'Extramarital Affair', 'Quitting A Job', 'Retired Army Man', 'Closeted Homosexual', 'Gay', 'Teenager']","['Jinks/Cohen Company', 'DreamWorks Pictures']",['United States of America']
4,Citizen Kane,1941,1941-04-17,8.0,4403,18.045,1.98,839727,23218000,22378273.0,"['Mystery', 'Drama']","['Orson Welles', 'Joseph Cotten', 'Dorothy Comingore', 'Ray Collins', 'George Coulouris', 'Agnes Moorehead', 'Paul Stewart', 'Ruth Warrick', 'Erskine Sanford', 'William Alland', 'Everett Sloane', 'Fortunio Bonanova', 'Gus Schilling', 'Philip Van Zandt', 'Georgia Backus', 'Harry Shannon', 'Sonny Bupp', 'Buddy Swan', 'Gregg Toland', 'Don Ackerman', 'Nat King Cole', 'Gino Corrado', 'Maurice Costello', 'Demetrius Alexis', 'Gene Coogan', 'Art Dupuis', 'Rudy Germane', 'Mike Lally', 'Walter Lawrence', 'John Northpole', 'Victor Romito', 'Bob Terry', 'William Alston', 'Jack Gargan', 'Bert Moorhouse', 'Carmen Laroux', 'Sam Ash', 'Buddy Messinger', 'Terrance Ray', 'Sally Corner', 'Walter Bacon', 'Herbert Corthell', 'Harry A. Bailey', 'Danny Borzage', 'J.J. Clark', 'Tom Coleman', 'Carl Deloro', 'Jack Egan', 'Robert Haines', 'Ludwig Lowry', 'John McCormack', 'Hercules Mendez', ""Paddy O'Flynn"", 'Sam Rice', 'Don Roberts', 'Larry Wheat', 'Larry Williams', 'Joan Blair', 'Morgan Brown', 'Harry Burkhardt', 'Edmund Cobb', 'Eddie Coke', 'Louis Natheaux', ""Arthur O'Connell"", 'Guy Repp', 'Tom Steele', 'Richard Wilson', 'Louise Currie', 'Walter Sande', 'Jan Wiley', 'Milton Kibbee', 'Buck Mack', 'Alan Ladd', 'Thomas A. Curran', 'Jack Curtis', 'George Noisom', 'Gerald Pierce', 'Donna Dax', 'George DeNormand', 'Bud Geary', 'Bert LeBaron', 'Clyde McAtee', 'Cyril Ring', 'Roland Winters', 'Lew Harvey', 'Herman J. Mankiewicz', 'Eddie Dew', 'Perc Launders', 'John Dilson', 'Walter James', 'Robert Dudley', 'Suzanne Dulier', 'Al Eben', 'Johnny Eckert', 'Carl Ekberg', 'Edith Evanson', 'Carl Faulkner', 'Juanita Fields', 'Edna Mae Jones', 'Leda Nicova', 'Jolane Reynolds', 'Suzanne Ridgeway', 'Olin Francis', 'Louise Franklin', 'Renee Godfrey', 'Peter Gowland', 'Jimmy Grant', 'Jesse Graves', 'Ernest Grooney', 'Jack Gwynne', 'Teddy Mangean', 'Henry Hebert', ""Bryan 'Slim' Hightower"", 'Mitchell Ingraham', 'Philip Morris', 'Francis Sayles', 'George W. Jimenez', 'Ellen Lowe', 'James T. Mack', 'Mickey Martin', 'Bruce Sidney', 'Major McBride', 'Frank McLure', 'Charles Meakin', 'Edward Peil Jr.', 'Irving Mitchell', 'Frances E. Neal', 'Lillian Nicholson', 'Joseph North', ""William H. O'Brien"", 'Field Norton', 'Dick Scott', ""Frank O'Connor"", 'Russ Powell', 'Bert Stevens', 'Thomas Pogue', ""Lillian O'Malley"", 'Jack Raymond', 'Gohr Van Vleck', 'Myrtle Rishell', 'Benny Rubin', 'Shimen Ruskin', 'George Sherwood', 'Edward Ryan', 'Landers Stevens', 'Harry J. Vejar', 'Tudor Williams', 'Arthur Yeoman', 'Tim Davis', 'Charles Bennett', 'Arthur Kay', 'John Alban']","['Journalist', 'Newspaper', 'Florida', 'Capitalist', 'Banker', 'Media Tycoon', 'Art Collector', 'Sleigh', 'Money', 'Black And White', 'Child']","['Mercury Productions', 'RKO Radio Pictures']",['United States of America']
5,Dancer in the Dark,2000,2000-06-30,7.9,1402,11.85,2.35,12800000,40031879,27231879.0,"['Drama', 'Crime']","['Björk', 'Catherine Deneuve', 'David Morse', 'Peter Stormare', 'Joel Grey', 'Cara Seymour', 'Vladica Kostic', 'Jean-Marc Barr', 'Vincent Paterson', 'Siobhan Fallon Hogan', 'Zeljko Ivanek', 'Udo Kier', 'Jens Albinus', 'Reathel Bean', 'Mette Berggreen', 'Lars Michael Dinesen', 'Katrine Falkenberg', 'Michael Flessas', 'John Randolph Jones', 'Stellan Skarsgård', 'Paprika Steen', 'Noah Lazarus', 'John Martinus', 'Luke Reilly', 'Sean-Michael Smith', 'Al Agami', 'Anna Norberg', 'Troels Asmussen', 'Caroline Sascha Cogez']","['Individual', 'Dancing', 'Robbery', 'Factory Worker', 'Small Town', 'Blindness And Impaired Vision', 'Immigrant', 'Eye Operation', 'Naivety', 'Hereditary Disease', 'Dying And Death', 'Musical', 'Debt', 'Police Officer']","['Lantia Cinema & Audiovisivi', 'Fine Line Features', 'Zentropa Entertainments', 'DR', 'SVT Drama', 'ARTE', 'Memfis Film', 'France 3 Cinéma', 'Angel films', 'YLE', 'Blind Spot Pictures', 'VPRO', 'Liberator Productions', 'Íslenska kvikmyndasamsteypan', 'Pain Unlimited GmbH Filmproduktion', 'Trust Film Svenska', 'Cinematograph A/S', 'What Else? B.V', 'Filmek A/S', 'Film4 Productions', 'Canal+', 'ARTE France Cinéma', 'Film i Väst', 'TV 1000 Sverige', 'WDR', 'Constantin Film']","['Argentina', 'Denmark', 'Finland', 'France', 'Germany', 'Iceland', 'Italy', 'Netherlands', 'Norway', 'Sweden', 'United Kingdom', 'United States of America']"
6,The Fifth Element,1997,1997-05-02,7.5,8959,39.318,2.10,90000000,263920180,173920180.0,"['Adventure', 'Fantasy', 'Action', 'Thriller', 'Science Fiction']","['Bruce Willis', 'Milla Jovovich', 'Gary Oldman', 'Ian Holm', 'Chris Tucker', 'Luke Perry', 'Brion James', ""Tom 'Tiny' Lister Jr."", 'Lee Evans', 'Charlie Creed-Miles', 'Tricky', 'John Neville', 'John Bluthal', 'Mathieu Kassovitz', 'Christopher Fairbank', 'Kim Chan', 'Richard Leaf', 'Julie T. Wallace', 'Al Matthews', 'Maïwenn', 'John Bennett', 'Ivan Heng', 'Sonita Henry', 'Tim McMullan', 'Hon Ping Tang', 'George Khan', 'John Hughes', 'Roberto Bryce', 'Said Talidi', 'Clifton Lloyd Bryan', 'Justin Lee Burrows', 'Richard Ashton', 'Jerome St. John Blake', 'Kevin Molloy', 'Bill Reimbold', 'Colin Brooks', 'Anthony Chinn', 'Sam Douglas', 'Derek Ezenagu', 'David Kennedy', 'David Barrass', 'Roger Monk', 'Mac McDonald', 'Mark Seaton', 'Jean-Luc Caron', 'Riz Meedin', 'Jerry Ezekiel', 'Indra Ové', 'Nicole Merry', 'Stacey McKenzie', 'Rachel Willis', 'Genevieve Maylam', 'Josie Perez', 'Natasha Brice', 'Sophia Goth', 'Martin McDougall', 'Pete Dunwell', 'Paul Priestley', 'Jason Salkey', 'Stewart Harvey-Wilson', 'David Fishley', 'Carlton Chance', 'Gin Clarke', 'Vladimir McCrary', 'Aron Paramor', 'Alan Ruscoe', 'Christopher Adamson', 'Ève Salvail', 'Kaleem Janjua', 'Tyrone Tyrell', 'Kevin Brewerton', 'Vincenzo Pellegrino', 'Ian Beckett', 'Sonny Caldinez', 'Zeta Graff', 'Eddie Ellwood', 'Yui', 'Laura De Palma', 'Michael Culkin', 'Lenny McLean', 'Robert Oates', 'John Sharian', 'Fred Williams', 'Sibyl Buck', 'Sarah Carrington', 'Ali Yassine', 'Sean Buckley', 'Dane Messam', 'Nathan Hamlett', 'Cecil Cheng', 'Scott Woods', 'Leon Dekker', 'David Garvey', 'Stanley Kowalski', 'Omar Williams', 'Robert Clapperton', 'Robert Alexander', 'Mia Frye', 'Leo Williams', 'C. Keith Martin', 'J.D. Dawodu', 'Patrick Nicholls', 'Shaun Davis', 'Roy Garcia', 'Alex Georgijev', 'Marie Guillard', 'Renee Montemayor', 'Stina Richardson', 'Kristen Fick', 'François Guillaume', 'Anita Koh', 'Kamay Lau', 'Tracy Redington', 'Gito Santana', 'Frank Senger', 'Joss Skottowe', 'Roger Wright']","['New York City', 'Flying Car', 'Clone', 'Taxi', 'Cyborg', 'Egypt', 'Future', 'Stowaway', 'Space Travel', 'Dystopia', 'Race Against Time', 'Arms Dealer', 'Love', 'Alien', 'Priest', 'End Of The World', 'Shootout', 'Police Chase', 'Cab Driver', 'Cyberpunk', 'Cult Film', 'Archaeologist', 'Space Opera', 'Military', 'Opera Singer', 'Resort Hotel', 'Futuristic City', 'Ancient Evil', 'Cruise Liner', 'Good Versus Evil', 'Hovercar']","['Gaumont', 'Buena Vista International']",['France']
7,Pirates of the Caribbean: The Curse of the Black Pearl,2003,2003-07-09,7.8,17453,348.349,2.38,140000000,655011224,515011224.0,"['Adventure', 'Fantasy', 'Action']","['Johnny Depp', 'Orlando Bloom', 'Keira Knightley', 'Geoffrey Rush', 'Jack Davenport', 'Jonathan Pryce', 'Lee Arenberg', 'Mackenzie Crook', ""Damian O'Hare"", 'Giles New', 'Angus Barnett', 'David Bailie', 'Michael Berry Jr.', 'Isaac C. Singleton Jr.', 'Kevin McNally', 'Treva Etienne', 'Zoe Saldana', 'Guy Siner', 'Ralph P. Martin', 'Paula J. Newman', 'Paul Keith', 'Dylan Smith', 'Lucinda Dryzek', 'Luke de Woolfson', 'Michael Sean Tighe', 'Greg Ellis', 'Dustin Seavey', 'Christian Martin', 'Israel Aduramo', 'Trevor Goddard', 'Vince Lozano', 'Ben Wilson', 'Antonio Valentino', 'Lauren Maher', 'Matthew Bowyer', 'Brye Cooper', 'Mike Babcock', 'Owen Finnegan', 'Ian McIntyre', 'Vanessa Branch', 'Sam Roberts', 'Ben Roberts', 'Martin Klebba', 'Félix Castro', 'Mike Haberecht', 'Rudolph McCollum', 'Gerard J. Reyes', 'M. Scott Shields', 'Christopher Sullivan', 'Craig Thomson', 'Fred Toft', 'D.P. FitzGerald', 'Jerry Gauny', 'Maxie J. Santillan Jr.', 'Michael Earl Lane', 'Tobias McKinney', 'David Patykewich', 'Tommy Schooler', 'Michael A. Thompson', 'Michael W. Williams', 'Jose Zelaya', 'Finneus Egan', 'Don LaDaga', 'LeJon', 'Christopher S. Capp', 'Gregory Ryan Alosio', 'Jordi Caballero', 'Tamara Castle', 'Paul Gagné', 'Joe Grisaffi', 'James McAuley']","['Exotic Island', 'Blacksmith', 'East India Company', 'Gold', 'Jamaica', 'Skeleton', 'British Empire', 'Governor', 'Pirate', 'Swashbuckler', '18Th Century', 'Caribbean Sea', 'Aftercreditsstinger', 'Pirate Ship', 'British Navy', 'Tortuga']","['Walt Disney Pictures', 'Jerry Bruckheimer Films']",['United States of America']
8,Kill Bill: Vol. 1,2003,2003-10-10,8.0,14624,30.039,1.85,30000000,180906076,150906076.0,"['Action', 'Crime']","['Uma Thurman', 'Lucy Liu', 'Vivica A. Fox', 'Daryl Hannah', 'David Carradine', 'Michael Madsen', 'Julie Dreyfus', 'Chiaki Kuriyama', ""Shin'ichi Chiba"", 'Gordon Liu Chia-Hui', 'Michael Parks', 'Michael Bowen', 'Jun Kunimura', 'Kenji Ohba', 'Yuki Kazamatsuri', 'James Parks', 'Sakichi Satō', 'Jonathan Loughran', 'Yoshiyuki Morishita', 'Tetsuro Shimaguchi', 'Kazuki Kitamura', 'Yoji Tanaka', 'Sō Yamanaka', 'Juri Manase', 'Akaji Maro', 'Goro Daimon', 'Shun Sugata', 'Zhang Jin Zhan', 'Hu Xiaohui', 'Ambrosia Kelley', 'Sachiko Fujii', 'Shu Lan Tuan', 'Ai Maeda', 'Naomi Kusumi', 'Hikaru Midorikawa', 'Issey Takahashi']","['Japan', 'Coma', 'Martial Arts', 'Kung Fu', 'Showdown', 'Asia', 'Yakuza', 'Sword', 'Bride', 'Vigilante', 'Sword Fight', 'Revenge', 'Female Yakuza', 'Animated Scene', 'Wedding', 'Samurai Sword', 'Eye Patch', 'Retribution']","['Miramax', 'A Band Apart', 'Super Cool ManChu']",['United States of America']
9,Jarhead,2005,2005-11-04,6.6,2297,28.035,2.05,72000000,97076152,25076152.0,"['Drama', 'War']","['Jamie Foxx', 'Jake Gyllenhaal', 'Peter Sarsgaard', 'Scott MacDonald', 'Chris Cooper', 'Laz Alonso', 'Lucas Black', 'Brian Geraghty', 'Damion Poitier', 'Jocko Sims', 'Dennis Haysbert', 'John Krasinski', 'Kevin Foster', 'Riad Galayini', 'Craig Coyne', 'Katherine Randolph', 'Honorine Bell', 'Dendrie Taylor', 'James Morrison', 'Ming Lo', 'Brianne Davis', 'Evan Jones']","['California', 'Gulf War', 'Marine Corps', 'Saudi Arabia', 'Petrol', 'Kuwait', 'Based On Memoir Or Autobiography', 'U.S. Marine', 'Anti War', 'Desert Storm']","['Red Wagon Entertainment', 'Neal Street Productions']","['United Kingdom', 'United States of America']"
